department,""city"",""communitytype"",""name"",""latitude"",""longitude""
01,""BREGNIER CORDON"",""Groupement paroissial"",""Saint Jean-Baptiste"",45.64845572,5.62002013
01,""Brénaz"",""Groupement paroissial"",""Saint Martin"",45.94772452,5.72284797
01,""BRENOD"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.06060480,5.60682245
01,""BRENS"",""Groupement paroissial"",""Saint Michel"",45.72289477,5.69270795
01,""BRESSOLLES"",""Groupement paroissial"",""Saint Marcellin"",45.86489063,5.09380569
01,""BRION"",""Groupement paroissial"",""Saint Denis"",46.17134400,5.55344000
01,""BRIORD"",""Groupement paroissial"",""Saint Jean-Baptiste"",45.78240548,5.45885800
01,""BUELLAS"",""Groupement paroissial"",""Saint Martin"",46.20959446,5.13227667
01,""CEIGNES"",""Groupement paroissial"",""Saint Laurent d'Etables"",46.12742300,5.48522200
01,""CEIGNES"",""Groupement paroissial"",""Sainte Catherine"",46.11891250,5.49924730
01,""Cerdon"",""Groupement paroissial"",""Notre-Dame de Préau (Chapelle de Préau)"",46.06533270,5.45324750
01,""CERDON"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.08143665,5.46747730
01,""CERTINES"",""Groupement paroissial"",""Saint Christophe"",46.13135833,5.26619466
01,""CESSY"",""Groupement paroissial"",""Saint Denis"",46.31853369,6.06909373
01,""CEYZERIAT"",""Groupement paroissial"",""Saint Laurent"",46.17692200,5.32437000
01,""CEYZERIEU"",""Groupement paroissial"",""Saint André"",45.83531430,5.72677730
01,""CHALAMONT"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",45.99609200,5.17208190
01,""Chalamont"",""Groupement paroissial"",""Chapelle de Ronzuel"",0.00000000,0.00000000
01,""CHALEINS"",""Groupement paroissial"",""Saint Julien"",46.03113695,4.80399452
01,""CHALEY"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",45.95474154,5.53068049
01,""CHALLES"",""Groupement paroissial"",""Saint Pierre"",46.12478042,5.46507873
01,""CHALLEX"",""Groupement paroissial"",""Saint Maurice"",46.18309845,5.97741302
01,""CHAMPAGNE EN VALROMEY"",""Groupement paroissial"",""Saint Maurice (Eglise de Passin)"",45.93025900,5.68766900
01,""CHAMPAGNE EN VALROMEY"",""Groupement paroissial"",""Saint Maurice (Eglise de Lilignod)"",0.00000000,0.00000000
01,""CHAMPAGNE EN VALROMEY"",""Groupement paroissial"",""Saint Symphorien"",45.90455402,5.67849519
01,""CHAMPDOR"",""Groupement paroissial"",""Saints Victor et Ours"",46.01662062,5.59698380
01,""CHAMPFROMIER"",""Groupement paroissial"",""Saint Martin"",46.19354700,5.81145400
01,""CHANAY"",""Paroisse"",""Eglise Saint-Victor"",46.00539400,5.78594780
01,""CHANEINS"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.09647790,4.85204690
01,""CHANOZ CHATENAY"",""Groupement paroissial"",""Saint Martin"",46.18453770,5.02953430
01,""CHARIX"",""Groupement paroissial"",""Saint Amand"",46.18324691,5.68600075
01,""CHARNOZ SUR AIN"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",45.87039206,5.22399206
01,""CHATEAU GAILLARD"",""Groupement paroissial"",""Sainte Foi"",45.97324651,5.30186764
01,""CHATENAY"",""Groupement paroissial"",""Saint Pierre"",46.03378910,5.20080420
01,""OCHIAZ - CHATILLON EN MICHAILLE"",""Groupement paroissial"",""Saint Etienne"",46.10889300,5.77801500
01,""CHATILLON EN MICHAILLE"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.14303066,5.80025596
01,""CHATILLON LA PALUD"",""Groupement paroissial"",""Saint Georges (Eglise de Bublanne)"",45.98057000,5.25935100
01,""CHATILLON LA PALUD"",""Groupement paroissial"",""Saint Irénée"",45.97971820,5.26013310
01,""CHATILLON SUR CHALARONNE"",""Groupement paroissial"",""Saint André Saint Vincent"",46.11941310,4.95671790
01,""CHAVANNES SUR REYSSOUZE"",""Groupement paroissial"",""Saint Martin"",46.43072588,4.99187698
01,""CHAVANNES SUR SURAN"",""Groupement paroissial"",""Saint Pierre"",46.26353500,5.42720470
