Codification_instrument;Commune;Edifice;Edifice_standard;Info_edifice;Codification_edifice;Nom_departement;Code_depertament;Nom_region;Code_insee;Commune_insee;Ancienne_commune;Adresse;Denomination;Livre;Pages_pdf;Pages_livre;Pages_livre_complement;Commentaire;Log;Site_ref;Latitude;Longitude;Orgbase_manu;Orgbase_commune;Orgbase_auto;Orgbase_desc;Orgbase_edifice;Orgbase_facteurs;Orgbase_minicompo;Orgbase_edifice_standard;Orgbase_edifice_log;Orgbase_commune_insee;Reference_palissy;denomination_palissy;Edifce_palissy;protection_palissy
;Petite Synthe;Église Saint-Nicolas;;;;Nord;Saint-Nicolas [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027902&LGE=FR&LIJST=lang;;;d;;Godefroy & Dubosc (1965);IIP/19;;;;;;;
;Pitgam;Église Saint-Folquin;;;;Nord;Saint-Folquin [eglise];EDIFICE_STANDARD;59463;Pitgam;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033571&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (18e eeuw);IIP/15;;;;;;;
;Pradelles;Église Saints-Pierre-et-Paul;;;;Nord;Saints-Pierre-Et-Paul [eglise];EDIFICE_NON_STANDARD;59469;Pradelles;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033572&LGE=FR&LIJST=lang;;;d;;Jonville, Henri (1929);IP/6;;;;;;;
;Quaëdrype;Église Saint-Omer;;;;Nord;Saint-Omer [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033573&LGE=FR&LIJST=lang;;;d;;Neuville, Charles (1868);IIIP/26;;;;;;;
;Quarouble;Église Saint-Antoine;;;;Nord;Saint-Antoine [eglise];EDIFICE_STANDARD;59479;Quarouble;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2019269&LGE=FR&LIJST=lang;;;d;;Volder, Pierre-Jean De & Volder, Henri De (1840);Ip/10;;;;;;;
;Quennaumont;Église Saint-Calixte;;;;Nord;Saint-Calixte [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2059137&LGE=FR&LIJST=lang;;;;;; ;;;;;;;
;Renescure;Église d'Assomption de Notre-Dame;;;;Nord;d'Assomption de Notre-Dame [eglise];EDIFICE_NON_STANDARD;59497;Renescure;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033575&LGE=FR&LIJST=lang;;;d;;Fremat (II), Jean Baptiste (1779);IIP/10;;;;;;;
;Rexpoëde;Église Saint-Omer;;;;Nord;Saint-Omer [eglise];EDIFICE_STANDARD;59499;Rexpoede;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033576&LGE=FR&LIJST=lang;;;d;;Neuville & fils, Louis (1878);IIP/21;;;;;;;
;Roncq;Église Saint-Piat;;;;Nord;Saint-Piat [eglise];EDIFICE_STANDARD;59508;Roncq;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2059288&LGE=FR&LIJST=lang;;;d;;Delmotte, Constantin & Théophile (1837);IIP/26;;;;;;;
;Rosendaël;Église de l'Assomption de Notre-Dame;;;;Nord;de l'Assomption de Notre-Dame [eglise];EDIFICE_NON_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027903&LGE=FR&LIJST=lang;;;d;;Michel-Merklin & Kuhn (1959);IIP/18;;;;;;;
